,P28_Phycella_Phycella_chilensis_P002_WC03,P28_Phycella_chilensis_P002_WD03,P36_Phycella_australis_P002_WH05,P36_Phycella_australis_P002_WA06,P36_Phycella_australis_P002_WB06,P37_Phycella_australis_P002_WC06,P37_Phycella_australis_P002_WD06,P38_Phycella_chilensis_P002_WE06,P38_Phycella_chilensis_P002_WF06,P39_Phycella_australis_P002_WG06,P39_Phycella_australis_P002_WH06,P39_Phycella_australis_P002_WA07,P40_Phycella_australis_P002_WB07,P40_Phycella_australis_P002_WC07,P40_Phycella_australis_P002_WD07,P41_Phycella_chilensis_P002_WE07,P41_Phycella_chilensis_P002_WF07,P41_Phycella_chilensis_P002_WG07,P42_Phycella_chilensis_P002_WH07,P42_Phycella_chilensis_P002_WA08,P43_Phycella_chilensis_P002_WB08,P43_Phycella_chilensis_P002_WC08,P43_Phycella_chilensis_P002_WD08,P44_Phycella_chilensis_P002_WE08,P44_Phycella_chilensis_P002_WF08,P45_fulgens_P002_WG08,P45_fulgens_P002_WH08,P45_fulgens_P002_WA09,P46_Phycella_maulensis_P002_WB09,P46_Phycella_maulensis_P002_WC09,P46_Phycella_maulensis_P002_WD09,P47_Phycella_maulensis_P002_WE09,P47_Phycella_maulensis_P002_WF09
P28_Phycella_Phycella_chilensis_P002_WC03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P28_Phycella_chilensis_P002_WD03,0.00446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P36_Phycella_australis_P002_WH05,0.00863,0.00680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P36_Phycella_australis_P002_WA06,0.00841,0.00677,0.00650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P36_Phycella_australis_P002_WB06,0.00764,0.00631,0.00633,0.00587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P37_Phycella_australis_P002_WC06,0.00818,0.00729,0.00646,0.00646,0.00659,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P37_Phycella_australis_P002_WD06,0.00864,0.00726,0.00690,0.00675,0.00687,0.00567,,,,,,,,,,,,,,,,,,,,,,,,,,,
P38_Phycella_chilensis_P002_WE06,0.00779,0.00631,0.00667,0.00716,0.00622,0.00689,0.00695,,,,,,,,,,,,,,,,,,,,,,,,,,
P38_Phycella_chilensis_P002_WF06,0.00842,0.00662,0.00698,0.00689,0.00693,0.00680,0.00698,0.00594,,,,,,,,,,,,,,,,,,,,,,,,,
P39_Phycella_australis_P002_WG06,0.00777,0.00630,0.00720,0.00650,0.00597,0.00687,0.00674,0.00623,0.00592,,,,,,,,,,,,,,,,,,,,,,,,
P39_Phycella_australis_P002_WH06,0.00812,0.00661,0.00700,0.00716,0.00652,0.00697,0.00699,0.00684,0.00674,0.00609,,,,,,,,,,,,,,,,,,,,,,,
P39_Phycella_australis_P002_WA07,0.00827,0.00686,0.00695,0.00657,0.00644,0.00656,0.00649,0.00705,0.00633,0.00597,0.00651,,,,,,,,,,,,,,,,,,,,,,
P40_Phycella_australis_P002_WB07,0.00776,0.00663,0.00734,0.00638,0.00647,0.00664,0.00735,0.00686,0.00711,0.00666,0.00712,0.00669,,,,,,,,,,,,,,,,,,,,,
P40_Phycella_australis_P002_WC07,0.00836,0.00709,0.00677,0.00691,0.00693,0.00768,0.00746,0.00709,0.00745,0.00705,0.00750,0.00745,0.00681,,,,,,,,,,,,,,,,,,,,
P40_Phycella_australis_P002_WD07,0.00868,0.00680,0.00716,0.00697,0.00658,0.00700,0.00676,0.00650,0.00697,0.00656,0.00697,0.00697,0.00683,0.00726,,,,,,,,,,,,,,,,,,,
P41_Phycella_chilensis_P002_WE07,0.00755,0.00621,0.00688,0.00686,0.00640,0.00723,0.00724,0.00646,0.00649,0.00604,0.00646,0.00675,0.00707,0.00700,0.00695,,,,,,,,,,,,,,,,,,
P41_Phycella_chilensis_P002_WF07,0.00771,0.00635,0.00672,0.00672,0.00620,0.00680,0.00721,0.00639,0.00681,0.00621,0.00677,0.00692,0.00658,0.00706,0.00642,0.00619,,,,,,,,,,,,,,,,,
P41_Phycella_chilensis_P002_WG07,0.00743,0.00635,0.00648,0.00621,0.00536,0.00663,0.00668,0.00594,0.00576,0.00551,0.00613,0.00640,0.00618,0.00662,0.00604,0.00574,0.00555,,,,,,,,,,,,,,,,
P42_Phycella_chilensis_P002_WH07,0.00788,0.00671,0.00726,0.00692,0.00631,0.00709,0.00701,0.00684,0.00678,0.00648,0.00671,0.00644,0.00706,0.00746,0.00645,0.00673,0.00631,0.00546,,,,,,,,,,,,,,,
P42_Phycella_chilensis_P002_WA08,0.00792,0.00652,0.00710,0.00682,0.00656,0.00734,0.00719,0.00661,0.00616,0.00661,0.00692,0.00709,0.00642,0.00770,0.00696,0.00692,0.00640,0.00623,0.00614,,,,,,,,,,,,,,
P43_Phycella_chilensis_P002_WB08,0.00786,0.00600,0.00711,0.00663,0.00623,0.00698,0.00707,0.00610,0.00625,0.00616,0.00664,0.00625,0.00709,0.00745,0.00654,0.00611,0.00615,0.00573,0.00664,0.00631,,,,,,,,,,,,,
P43_Phycella_chilensis_P002_WC08,0.00831,0.00661,0.00691,0.00718,0.00672,0.00705,0.00695,0.00610,0.00660,0.00640,0.00693,0.00698,0.00746,0.00753,0.00686,0.00606,0.00634,0.00564,0.00715,0.00683,0.00582,,,,,,,,,,,,
P43_Phycella_chilensis_P002_WD08,0.00841,0.00634,0.00713,0.00702,0.00669,0.00677,0.00684,0.00708,0.00692,0.00644,0.00740,0.00710,0.00681,0.00771,0.00739,0.00669,0.00622,0.00652,0.00682,0.00640,0.00611,0.00674,,,,,,,,,,,
P44_Phycella_chilensis_P002_WE08,0.00811,0.00614,0.00718,0.00697,0.00646,0.00702,0.00661,0.00651,0.00627,0.00642,0.00675,0.00657,0.00680,0.00742,0.00685,0.00635,0.00629,0.00608,0.00635,0.00620,0.00634,0.00663,0.00630,,,,,,,,,,
P44_Phycella_chilensis_P002_WF08,0.00850,0.00649,0.00714,0.00690,0.00640,0.00677,0.00690,0.00644,0.00632,0.00659,0.00662,0.00705,0.00680,0.00820,0.00684,0.00706,0.00629,0.00603,0.00677,0.00643,0.00608,0.00642,0.00668,0.00655,,,,,,,,,
P45_fulgens_P002_WG08,0.00913,0.00778,0.00791,0.00741,0.00693,0.00731,0.00788,0.00738,0.00772,0.00749,0.00803,0.00715,0.00781,0.00831,0.00746,0.00820,0.00754,0.00690,0.00700,0.00771,0.00743,0.00781,0.00753,0.00726,0.00777,,,,,,,,
P45_fulgens_P002_WH08,0.00893,0.00727,0.00752,0.00728,0.00634,0.00713,0.00735,0.00710,0.00734,0.00710,0.00752,0.00663,0.00753,0.00812,0.00730,0.00775,0.00758,0.00687,0.00674,0.00747,0.00726,0.00731,0.00773,0.00718,0.00743,0.00334,,,,,,,
P45_fulgens_P002_WA09,0.00859,0.00732,0.00763,0.00723,0.00661,0.00716,0.00702,0.00687,0.00727,0.00695,0.00787,0.00657,0.00755,0.00781,0.00707,0.00724,0.00729,0.00677,0.00682,0.00737,0.00726,0.00719,0.00761,0.00695,0.00745,0.00318,0.00282,,,,,,
P46_Phycella_maulensis_P002_WB09,0.00848,0.00709,0.00766,0.00743,0.00672,0.00747,0.00768,0.00737,0.00726,0.00683,0.00787,0.00779,0.00694,0.00725,0.00740,0.00731,0.00697,0.00656,0.00719,0.00707,0.00769,0.00785,0.00741,0.00707,0.00718,0.00773,0.00754,0.00738,,,,,
