,P1_Phycella_cyrtanthoides_P001_WA1,P1_Phycella_cyrtanthoides_P001_WB1,P1_Phycella_cyrtanthoides_P001_WC1,P2_Phycella_cyrtanthoides_P001_WD1,P2_Phycella_cyrtanthoides_P001_WE1,P2_Phycella_cyrtanthoides_P001_WF1,P3_Phycella_cyrtanthoides_P001_WG1,P3_Phycella_cyrtanthoides_P001_WH1,P3_Phycella_cyrtanthoides_P001_WA2,P4_Phycella_cyrtanthoides_P001_WB2,P4_Phycella_cyrtanthoides_P001_WC2,P4_Phycella_cyrtanthoides_P001_WD2,P5_Phycella_cyrtanthoides_P001_WG2,P5_Phycella_cyrtanthoides_P001_WH2,P6_Phycella_scarlatina_P001_WA3,P6_Phycella_scarlatina_P001_WB3,P6_Phycella_scarlatina_P001_WC3,P7_Phycella_cyrtanthoides_P001_WF3,P7_Phycella_cyrtanthoides_P001_WG3,P7_Phycella_cyrtanthoides_P001_WH3,P8_Phycella_amoena_P001_WA4,P8_Phycella_amoena_P001_WB4,P8_Phycella_amoena_P001_WC4,P9_Phycella_amoena_P001_WD4,P9_Phycella_amoena_P001_WE4,P9_Phycella_amoena_P001_WF4,P10_Phycella_amoena_P001_WG4,P10_Phycella_amoena_P001_WH4,P10_Phycella_amoena_P001_WA5,P11_Phycella_ornata_P001_WB5,P11_Phycella_ornata_P001_WC5,P11_Phycella_ornata_P001_WD5,P12_Phycella_ornata_P001_WE5,P12_Phycella_ornata_P001_WF5,P12_Phycella_ornata_P001_WG5,P13_Phycella_lutea_P001_WH5,P13_Phycella_lutea_P001_WA6,P14_Phycella_ornata_P001_WB6,P14_Phycella_ornata_P001_WC6,P14_Phycella_ornata_P001_WD6,P14_Phycella_ornata_P001_WE6,P15_Phycella_angustifolia_P001_WF6,P15_Phycella_angustifolia_P001_WG6,P15_Phycella_angustifolia_P001_WH6,P15_Phycella_angustifolia_P001_WA7,P17_Phycella_arzae_P001_WE7,P17_Phycella_arzae_P001_WF7,P17_Phycella_arzae_P001_WG7,P18_Phycella_davidii_P001_WH7,P18_Phycella_davidii_P001_WA8,P18_Phycella_davidii_P001_WB8,P18_Phycella_davidii_P001_WC8,P19_Phycella_arzae_P001_WE8,P19_Phycella_arzae_P001_WF8,P19_Phycella_arzae_P001_WG8,P20_Phycella_quilapilun_P001_WH8,P20_Phycella_quilapilun_P001_WA9,P20_Phycella_quilapilun_P001_WB9,P20_Phycella_quilapilun_P001_WC9,P21_Phycella_cyrtanthoides_P002_WA01,P21_Phycella_cyrtanthoides_P002_WB01,P22_Phycella_cyrtanthoides_P002_WD01,P23_Phycella_cyrtanthoides_P002_WF01,P23_Phycella_cyrtanthoides_P002_WG01,P24_Phycella_cyrtanthoides_P002_WH01,P24_Phycella_cyrtanthoides_P002_WA02,P25_Phycella_cyrtanthoides_P002_WC02,P25_Phycella_cyrtanthoides_P002_WD02,P26_Phycella_cyrtanthoides_P002_WE02,P26_Phycella_cyrtanthoides_P002_WF02,P27_Phycella_cyrtanthoides_P002_WH02,P27_Phycella_cyrtanthoides_P002_WA03,P28_Phycella_chilensis_P002_WC03,P30_Phycella_cyrtanthoides_P002_WG03,P30_Phycella_cyrtanthoides_P002_WH03,P30_Phycella_cyrtanthoides_P002_WA04,P31_Phycella_angustifolia_P002_WB04,P31_Phycella_angustifolia_P002_WC04,P32_Phycella_arzae_P002_WE04,P33_Phycella_ornata_P002_WG04,P33_Phycella_ornata_P002_WH04,P33_Phycella_ornata_P002_WA05,P34_Phycella_scarlatina_P002_WB05,P34_Phycella_scarlatina_P002_WC05,P35_Phycella_lutea_P002_WE05,P35_Phycella_lutea_P002_WF05,P36_Phycella_australis_P002_WH05,P36_Phycella_australis_P002_WA06,P36_Phycella_australis_P002_WB06,P38_Phycella_chilensis_P002_WE06,P38_Phycella_chilensis_P002_WF06,P39_Phycella_australis_P002_WG06,P39_Phycella_australis_P002_WH06,P40_Phycella_australis_P002_WB07,P40_Phycella_australis_P002_WC07,P41_Phycella_chilensis_P002_WE07,P41_Phycella_chilensis_P002_WF07,P41_Phycella_chilensis_P002_WG07,P43_Phycella_chilensis_P002_WB08,P43_Phycella_chilensis_P002_WC08,P43_Phycella_chilensis_P002_WD08,P45_Phycella_fulgens_P002_WG08,P45_Phycella_fulgens_P002_WH08,P46_Phycella_maulensis_P002_WB09,P46_Phycella_maulensis_P002_WC09,P46_Phycella_maulensis_P002_WD09
P1_Phycella_cyrtanthoides_P001_WA1,0.0,0.3226301893803376,0.34148425689091133,0.8089804471397841,0.8270160567050426,0.7712009544396159,0.08403947051984786,0.33178897820946535,0.40675668560684736,0.10944773952493969,0.598635511120544,0.5607616294961626,0.6087902480402276,0.3395515233990319,0.6867277200705487,0.7073307882405844,0.662373566035109,0.5806139443772613,0.6581730151027041,0.6697532012284768,0.6971721493355219,0.6977485211371763,0.7087174108767885,0.6547527619196905,0.6970165884483285,0.6606418709936619,0.6937019626556445,0.6913645480299471,0.665817094996995,0.6944791671555681,0.6816493330896735,0.6634534524381345,0.7070626554419615,0.6535454421292302,0.6849505302371665,0.6781975735159045,0.6816601351819064,0.6785623056223536,0.6846037353467883,0.7104174424030774,0.6770102082966667,0.7185329639298559,0.7117323118316663,0.7707494958321646,0.7707494958321646,0.7134899161473307,0.6887982613210327,0.6896890159204992,0.720737184558597,0.7321034514305149,0.7321908831920538,0.7353728118616436,0.6691213134584594,0.695784878282575,0.6913065400766235,0.6991849246908852,0.7357435066333858,0.7237189309068701,0.6911879055203493,0.3139008770774644,0.34352988002596047,0.42708155698811523,0.6856243386500748,0.6523289562632419,0.7242664518941654,0.7500934960503782,0.6350109793028319,0.6395101394788304,0.6806656755973655,0.6942823169025139,0.5833367876414437,0.32410619329594426,0.5531759863434327,0.7281832587057776,0.7531746941771957,0.7158922768893011,0.7088660187705954,0.729478903901592,0.585193065818011,0.6175407179490389,0.6202168782903741,0.7055333473661392,0.7112060108138787,0.709815084451992,0.6733420374598238,0.6818362536995022,0.6057171902228443,0.6596309470921976,0.6046268904272152,0.7727835975351529,0.6408170723002974,0.6519541215817264,0.5896979400699339,0.6965185901790185,0.7680590912929057,0.7413539555424413,0.7031611699340601,0.6517791339887902,0.7074163921712651,0.6117476607442399,0.5919963687789498,0.7246984115873523,0.6291941008818118,0.6381825642929593,0.6554923730303726,0.5956625650877372
P1_Phycella_cyrtanthoides_P001_WB1,0.3226301893803376,0.0,0.07668521071931199,0.7910041288953318,0.561963983693616,0.5042456424629331,0.3616811612769893,0.08414010352853894,0.3697615539791516,0.38261245458441673,0.5703241509657482,0.33235308545952014,0.34705053181136025,0.3697149510622749,0.672204881316961,0.42870545084266476,0.6245430948493093,0.5384025313228069,0.6570072328615811,0.6879049158438921,0.7225292081004047,0.6318391422545169,0.6478987556661464,0.6748025465804958,0.6318915726123305,0.6724806299024157,0.7062992698938935,0.711009944153637,0.6904587710503141,0.7056293928036135,0.692011379186706,0.6681420448967075,0.7160700078640261,0.6707656064133813,0.6979564839082907,0.6356498105098242,0.6307849752469746,0.6827767122895876,0.6120743988641747,0.7142889262799629,0.6730573859397245,0.6894127440366093,0.675310465475861,0.740952499807417,0.740952499807417,0.7027463846019807,0.6804364261086471,0.6853254648095917,0.7273003754941637,0.7302059148721629,0.7424177328565331,0.6326647135555463,0.6790568202496381,0.7179842632800842,0.6994993058109378,0.7210153628773297,0.6491723382388503,0.6255818760904581,0.7112483953691612,0.3105391994093874,0.07219917100186506,0.6882391142014096,0.6660964339234792,0.626896508422954,0.4540803311557732,0.47242584875743365,0.5848650403914136,0.35523523729574746,0.392122915867421,0.4254328462694571,0.5818489353169105,0.34262401144303545,0.5300231534456097,0.45704844004507356,0.4837706049018147,0.45321463912195203,0.6826256779332975,0.707986635979685,0.6067473181793737,0.7128605328519009,0.7297422274324532,0.7125434112751989,0.6821465762613956,0.6889625351010445,0.5969436351867076,0.6797319121900942,0.6100350083488808,0.37777008287900193,0.5953775334581927,0.7289140116869028,0.5177098168565375,0.6194026018218257,0.5942944893237929,0.41357195840057953,0.7451906827670214,0.6932187961476972,0.666262130968825,0.6117847252287076,0.6680696139008622,0.5731509052040156,0.5641800131311896,0.714621001553108,0.7015034867433987,0.6525887833628448,0.654803077135483,0.6020251408902431
P1_Phycella_cyrtanthoides_P001_WC1,0.34148425689091133,0.07668521071931199,0.0,0.8096705168236211,0.5737086339698765,0.5126273584810429,0.3778358160092247,0.07746172516681261,0.3811033715847476,0.39721149687665813,0.5593794586692091,0.31646902437241253,0.3538421085459975,0.3869634942651834,0.6613301659963744,0.41467824594143093,0.6139633716663212,0.5742475551411468,0.6880383403575269,0.7150886744692488,0.7006639172280552,0.6142026601786179,0.6346298309520463,0.6754852690545117,0.6262358171523269,0.6664375799186395,0.7019433054483027,0.7053037899834823,0.6823430761292604,0.7165094487144874,0.6821957210965219,0.6555045977850891,0.7088105234533575,0.6692144713837942,0.6936978471939084,0.6329477175676181,0.6301970781663633,0.6752404952214373,0.6036556060175841,0.704463073577032,0.6688062988715514,0.6832839452175179,0.675354182706903,0.7577191045591238,0.7577191045591238,0.6890841874249192,0.6776796168263083,0.6675300692124032,0.7020647294685629,0.7156976271108701,0.727771995477906,0.6213186832445406,0.6669893082160872,0.6999981603810463,0.6914529683127939,0.7164740430056418,0.6220119301887872,0.608820507825859,0.7104631907419455,0.34434909928344026,0.07556067182406388,0.6992301744388796,0.6832374348141277,0.6422630712518513,0.4671034012900088,0.4781418700849502,0.6159635835287985,0.3496073922607771,0.403660016528144,0.4414049188784037,0.6119274204932442,0.36498329432350196,0.5290408500452076,0.4504651870590132,0.4990431042533725,0.46619058859179296,0.6908755767944215,0.7147819804660769,0.5951137875902193,0.6999521644065684,0.7260017374755858,0.713479001192182,0.649626400416145,0.6622587198713739,0.5942879490551267,0.6666124915528732,0.6005570767140894,0.39042533759527553,0.6020101139896696,0.7334779158020752,0.5291141318681587,0.6010285713025219,0.592140123864867,0.3852560183875848,0.7467674478944999,0.6905190689527678,0.6425568172368072,0.6073961411093778,0.6599283774003732,0.586237769532463,0.5503904091654038,0.7226650831112029,0.715875619714992,0.6299641887001867,0.6384401506825677,0.5988968947364799
P2_Phycella_cyrtanthoides_P001_WD1,0.8089804471397841,0.7910041288953318,0.8096705168236211,0.0,0.6029674146293548,0.6217042747287518,0.824626072735116,0.7954168610531205,0.44808035188062034,0.7405791260644071,0.7676976405577767,0.80807732369647,0.7359377322989342,0.5122593569750196,0.7543481256244977,0.7165590069820953,0.19374532797589222,0.6818433353581046,0.11285167612090032,0.598927892040089,0.8839176414861547,0.9597046023445331,0.993829894825002,0.8999081622334983,0.9532328133262015,0.907972824320655,0.9266023910723882,0.9666739958509188,0.8441611120302508,0.9094281868285752,0.9422144970917223,0.8130293125961974,0.8224314735781268,0.920507344309154,0.8404325084124146,0.9130811235917561,0.9556286521894353,0.76543178804586,0.9290390331437248,0.9068251344867473,0.7527742193823166,0.696979546858481,0.6940378693955458,0.7031165461652839,0.7031165461652839,0.7972967560227987,0.7265330368925833,0.8799680217057465,0.9674559513044398,0.9839206826725961,0.9916489466716971,0.9834168521869396,0.9116202041148146,0.9597279451362135,0.8957929149734593,0.8430214932855067,0.9931122742165461,0.9609426689712006,0.8253860436797901,0.8154288089591413,0.8315276684230646,0.6639318251202655,0.18185176554449137,0.707743260225268,0.6198894907253629,0.6504641922038422,0.24584629904079766,0.7620663880466705,0.7161338530997802,0.6514998578196965,0.2582301577251834,0.49682335282092294,0.7364180594128064,0.7022543085632976,0.609965326239208,0.6282065511438097,0.6763740724680583,0.6553270472825263,0.7814857018832149,0.9640691052140906,0.9537265082289256,0.9041180786952601,0.7910093968441904,0.7963184247350961,0.9414615902239588,0.9401678965319038,0.7268818362396974,0.6788954474223049,0.224613707894947,0.7746120284122932,0.7350980588314987,0.7452281937720242,0.7962045854687945,0.7400100563266756,0.6800046466598619,0.8135863181178434,0.8266550790007647,0.7613224206278146,0.7788114190721848,0.7900340434828873,0.7808011081106915,0.7520960342864391,0.7797007369282262,0.8537982899734026,0.8717577226023688,0.82795247747399
P2_Phycella_cyrtanthoides_P001_WE1,0.8270160567050426,0.561963983693616,0.5737086339698765,0.6029674146293548,0.0,0.08105846950191033,0.850581578329574,0.5586838050652875,0.7196446793859361,0.7824417815891362,0.7737341801876587,0.31650106379972087,0.2544324925270653,0.7958265322381941,0.7247706301467199,0.2060687803055281,0.24500929861658263,0.705211476787784,0.559197426875911,0.5607071084903048,0.9904376331174296,0.8614952208047151,0.9,0.9088249152804608,0.8536020196001497,0.9211666840852533,0.9335885080883299,0.9779343535202181,0.9621224875400802,0.9208098217360049,0.9455300643358493,0.914681391990992,0.9208608205978885,0.922050255340627,0.9510596285482814,0.821723804191696,0.8651835255908619,0.8849782063697675,0.836028300054423,0.9105686002408693,0.8787273823609663,0.687728284442829,0.6995069899440485,0.6518838884936572,0.6518838884936572,0.9030202755124778,0.8222324444678097,0.8866470570492941,0.9718364779026643,0.9903618579313687,0.9900436243583499,0.8902187784587888,0.9261061952791311,0.9680622604369242,0.8967909576278641,0.9481888014896657,0.8956116676176991,0.8627523493328356,0.9281090134695549,0.8322897648373276,0.5924546231803034,0.6885320682136586,0.730508314550278,0.7101351561978508,0.14244614329393032,0.12343030786915057,0.7582420306490604,0.22755651905483448,0.231238718644936,0.15190407374040638,0.7651775086620465,0.7671186234500614,0.7099015752934245,0.17489022404328955,0.09470005889147579,0.12253280230818483,0.6360385296927706,0.6319077300524852,0.9102218015173114,0.9690634082902051,0.9593476434526131,0.9151580098222982,0.768155380627139,0.7669808505757111,0.8531145496496259,0.9436300965792418,0.7420886703129582,0.20419567966358734,0.738618965675651,0.7890908243152501,0.59358122180162,0.7558984203170169,0.7946790581481871,0.23793931304562854,0.6289814362338508,0.8255597618904407,0.8412258491757287,0.7949650458494594,0.7830134994505378,0.7725519684009245,0.811887118375334,0.7856339009478418,0.8092196976234685,0.8278168893973579,0.8478995636366087,0.8175890069276357
P2_Phycella_cyrtanthoides_P001_WF1,0.7712009544396159,0.5042456424629331,0.5126273584810429,0.6217042747287518,0.08105846950191033,0.0,0.8002449769750554,0.5084319232474662,0.674521682697,0.7409522453158379,0.7134215448592366,0.25647885920117347,0.20377211499029727,0.7517430862776828,0.6711959730051525,0.15791111498083032,0.1975300953259081,0.6767474248496314,0.5434150309371012,0.5575971433547358,0.9234934391387154,0.7916813974077204,0.8322038656794214,0.8387639806663946,0.7836481285087895,0.8511932310174188,0.8627834984037832,0.9086364822619861,0.894488420391313,0.8504328729863169,0.8754588553878897,0.8446011075860941,0.8499425731612615,0.8550785422476536,0.8814257409376545,0.7555986645547759,0.7982531547222209,0.8142065612487315,0.7649658391865789,0.8371491248261111,0.8093535257121542,0.6486123404580542,0.6603580015982495,0.6190554444350624,0.6190554444350624,0.8316155142063112,0.7508952073231022,0.8147914948507671,0.9013087347937849,0.9202220144276502,0.9213886600872998,0.8203651411997472,0.8551217134161249,0.8972967560227987,0.8244229467029368,0.8777262551508888,0.8247079877629973,0.7894667474477345,0.8594467651378666,0.7794814153725614,0.5374369031010588,0.6572203326316319,0.7024134177856731,0.6659579317169511,0.12165387958177597,0.099638168529783,0.7048001934656122,0.1758517909765324,0.1957917686204214,0.11905544443506243,0.713923764538451,0.7179068903118644,0.6648085220223344,0.13557571627669798,0.047179748798581854,0.0962256349184693,0.6038863877500051,0.6003281386997427,0.8406321229662687,0.8987603277557754,0.8906977689795977,0.8424009005941732,0.7072556513458155,0.7134718199962775,0.7834620355837447,0.8738917856694158,0.6904494339443129,0.16232824172956717,0.6859365838156787,0.7542215227738112,0.526984787919184,0.6886133635769355,0.7356451627667714,0.18149026542059657,0.5719192012136332,0.7726961462280413,0.7804506135385088,0.7353652565341153,0.727650815085721,0.713316359696275,0.7484401107411505,0.7441066363092912,0.7634607559459186,0.7804506135385088,0.799165700755726,0.7694044654219399
P3_Phycella_cyrtanthoides_P001_WG1,0.08403947051984786,0.3616811612769893,0.3778358160092247,0.824626072735116,0.850581578329574,0.8002449769750554,0.0,0.36111859875486374,0.4277424171177507,0.12075485039620618,0.6369370766449172,0.6140574951679021,0.6388382222250066,0.35541920901689467,0.7213411246238716,0.7324487603773336,0.6780609076951979,0.6014374422568903,0.6937402639135535,0.7022922030624523,0.722466095703588,0.7312371275473613,0.7346361989737475,0.6933480299233993,0.7328185798050002,0.694762105671798,0.7303915011664074,0.7197326034135731,0.6906682526415926,0.7307731206478655,0.7181583223963228,0.7035902744855344,0.7485491818821235,0.6928494614381329,0.7185071472048677,0.7132174498333285,0.7116109293502433,0.7128392140424997,0.7206810622267994,0.7505249030308065,0.7078984636234303,0.7394882880452971,0.7296354388717212,0.7995241855557979,0.7995241855557979,0.7506130038334611,0.734351947780353,0.728563736023105,0.736084790188408,0.7603408969067103,0.7633608874975384,0.7642843327985479,0.7016807800733171,0.7275689144776417,0.7328931051370731,0.7348060099817522,0.7653268493615266,0.7585505352985283,0.7292628920053259,0.356114930472572,0.3746459561351608,0.44791775926856725,0.692419404405834,0.6811422622211871,0.7412449874462,0.7662966738301309,0.6625324788510447,0.6593414284572485,0.6953528082218248,0.7183777369997241,0.6234178872092078,0.35835536318063127,0.5966199748583556,0.7537688541365806,0.7786409174240208,0.738683202079667,0.7487228072910703,0.7586276039608048,0.6265678303805021,0.6500371688516204,0.6546361303683612,0.7413545154112929,0.7466866739672279,0.7437421196180501,0.7041103761071551,0.7169762626115964,0.6391580628557637,0.6815358723141981,0.63814084424536,0.7968096566111793,0.6811779913227602,0.6876681722912328,0.6394551860991906,0.727393159748552,0.8030705395157915,0.7671804685189776,0.7306008180109701,0.6747807899354834,0.7374874319331927,0.648924888752362,0.6177591019409454,0.7498910518219342,0.6545680337231066,0.6744601834487526,0.6927457753335388,0.6379631710602645
P3_Phycella_cyrtanthoides_P001_WH1,0.33178897820946535,0.08414010352853894,0.07746172516681261,0.7954168610531205,0.5586838050652875,0.5084319232474662,0.36111859875486374,0.0,0.3704894827320996,0.37308404841323545,0.5562233406221049,0.3276783265621336,0.3394213263722602,0.357671271410055,0.6611304939890581,0.41279636105007106,0.6152075939684207,0.5664690243724125,0.6812620588271229,0.703282521902062,0.7275850814058443,0.6498781450866499,0.6577771538667452,0.7059961598814881,0.658626120991414,0.7061077585833393,0.7411537185215716,0.7370009290920354,0.7111932357182217,0.7496348158796277,0.720118773328794,0.6969490367887523,0.7487859137608754,0.6885893038007169,0.732149416642984,0.6546268536503059,0.6516708083631557,0.7249004516436901,0.6429750668049873,0.754695296887744,0.7204669995416565,0.6760117736708089,0.6688789349759764,0.7488152429596694,0.7488152429596694,0.7419635092081494,0.7187904030942576,0.7194578286472294,0.7453559382166157,0.7564991806548249,0.7565161538115368,0.6573014284215286,0.7098843384090108,0.7399850169268466,0.7322946491687361,0.7492082656846463,0.6646638837996692,0.6574072212241837,0.7387720767532184,0.3268880503117948,0.053485670581283035,0.6755638738822183,0.6533504292047596,0.6127190155768236,0.44171702494275855,0.4603101716275766,0.6079533810217671,0.33320497274308164,0.377811349961839,0.4145571829456104,0.5763044376873493,0.32902911023732906,0.5322675160035327,0.44280144198461524,0.4924493499491065,0.4414049188784037,0.6874883743232723,0.7127596818035674,0.6314531514723483,0.7383749667147362,0.7577133940600829,0.757557496143613,0.674196369320131,0.6630974179157326,0.6296064061198026,0.707986635979685,0.588991702832119,0.37744331447046603,0.578444229230374,0.7667894726200388,0.5442688596242694,0.638007610800847,0.5896268141798928,0.4088168027342165,0.7502650699885631,0.7357376993930755,0.6953817792556881,0.6491775062041244,0.7012880283343685,0.5841903817099462,0.6101745473760641,0.7516200572543257,0.7517177042107478,0.6378075191133049,0.6450271697701757,0.5987883275802279
P3_Phycella_cyrtanthoides_P001_WA2,0.40675668560684736,0.3697615539791516,0.3811033715847476,0.44808035188062034,0.7196446793859361,0.674521682697,0.4277424171177507,0.3704894827320996,0.0,0.38614892042303806,0.5915559490897959,0.6448896881913825,0.5845755212861218,0.14171633045061702,0.6403318578550323,0.5985086054682751,0.5587043751107672,0.5519431938750026,0.3890716681450911,0.6739850300014054,0.7396356759824638,0.8119873737272651,0.8356315666729233,0.7708912375313843,0.8146069682761552,0.7699899364617193,0.8016966376726664,0.8203341440902763,0.7119753627628316,0.7979642066026398,0.794600180729707,0.664969308544634,0.7023057777840507,0.7731735705630273,0.7188608606824873,0.8056311380944017,0.8206240236318185,0.6745463272197003,0.7933233416625347,0.7936419755942234,0.6614318229420969,0.594673506776541,0.5754965331074217,0.6751092256368182,0.6751092256368182,0.6921092246610879,0.6476981853263706,0.7556107053338996,0.8164865326264126,0.8290480295442342,0.8385149976516112,0.8284931501048448,0.7746734285312075,0.8164041767053395,0.7803959458680534,0.7180183216070484,0.8413516202325352,0.8186980575818585,0.7042972135464174,0.4038231475608999,0.39810394888720313,0.6333295518581408,0.34434324972832225,0.5773817301122495,0.6060045003553441,0.6267514561654977,0.3274807217481086,0.6073695755649603,0.5506582336637181,0.5936582939988814,0.35853404623002844,0.11646695639624235,0.5171865706097634,0.6305995991145462,0.6555637362537738,0.6172781073077879,0.6251325349942816,0.6265820184514143,0.5889919620634525,0.815491983652095,0.8293797638484011,0.794866281457699,0.6555735904796257,0.6605299878258837,0.787794017373644,0.781089435376515,0.588247857883078,0.5452003474951171,0.32257698013387254,0.6828346907543643,0.6016090123131644,0.6076689933279752,0.6432510211166301,0.6097358995378608,0.6807949458518633,0.6700183250782178,0.6535573322104754,0.5943141924092593,0.639817338927941,0.5777538016075757,0.5883088134555402,0.6967061848852011,0.6893505478830315,0.7105214544819342,0.7117847252287076,0.6695674261400193
P4_Phycella_cyrtanthoides_P001_WB2,0.10944773952493969,0.38261245458441673,0.39721149687665813,0.7405791260644071,0.7824417815891362,0.7409522453158379,0.12075485039620618,0.37308404841323545,0.38614892042303806,0.0,0.6418547261822534,0.6346220885820778,0.597021462845542,0.2912107802312118,0.7150541754077187,0.7040334521972351,0.6099089908253262,0.6221137175614564,0.6758231948643054,0.666823613745158,0.7922185022786701,0.7928599214890787,0.8050187880770199,0.7397278286007676,0.7927994030943737,0.7447551349789296,0.77700318928181,0.7824819437002315,0.7506015035420814,0.7698297687384137,0.7776585563344633,0.758059127052508,0.7915462276131402,0.75165659943716,0.7741550034526994,0.7469279231522211,0.7699510959988521,0.7342593021009138,0.7725724413488585,0.7845272200889313,0.7232623701434573,0.7030480038988755,0.6938225385324793,0.771590708411885,0.771590708411885,0.7859975548084391,0.7434866332385911,0.7601087878429734,0.8084055682542467,0.8254380627250844,0.8311242035928976,0.8278477523021686,0.7494195422304681,0.7840785917954511,0.768864478002144,0.7850343098978749,0.8278449467036071,0.8144677710488635,0.7774975114046463,0.3851399070999376,0.41244001880718123,0.35622062755046724,0.6091110593266948,0.646203755376082,0.66383042348015,0.722275271619482,0.6571419174255964,0.6794088686708115,0.6633506276763906,0.6560886886690496,0.6181008218357293,0.31938487342744676,0.5836332325738456,0.7211551526425898,0.7175830325207205,0.669713461016992,0.7215222347017587,0.7166620518681217,0.6614896754014474,0.7131754157468042,0.7066184542916292,0.7751050746436772,0.7455652852590781,0.7449514776583219,0.7651333376371163,0.777198811777197,0.5916423071729117,0.6270066373440086,0.6021776889118058,0.7574606530044777,0.6550511318370484,0.6683530701445076,0.6497263638514638,0.7054751613775233,0.7609535188185803,0.750287605674,0.7185933699339937,0.6476542223367681,0.7143304630098114,0.6585505352985284,0.6252282173953466,0.6954957279899405,0.6182380606955153,0.7272596355584442,0.7420314184063704,0.6801081774706599
