,P1_Phycella_cyrtanthoides_P001_WA1,P1_Phycella_cyrtanthoides_P001_WB1,P1_Phycella_cyrtanthoides_P001_WC1,P2_Phycella_cyrtanthoides_P001_WD1,P2_Phycella_cyrtanthoides_P001_WE1,P2_Phycella_cyrtanthoides_P001_WF1,P3_Phycella_cyrtanthoides_P001_WG1,P3_Phycella_cyrtanthoides_P001_WH1,P3_Phycella_cyrtanthoides_P001_WA2,P4_Phycella_cyrtanthoides_P001_WB2,P4_Phycella_cyrtanthoides_P001_WC2,P4_Phycella_cyrtanthoides_P001_WD2,P5_Phycella_cyrtanthoides_P001_WG2,P5_Phycella_cyrtanthoides_P001_WH2,P6_Phycella_scarlatina_P001_WA3,P6_Phycella_scarlatina_P001_WB3,P8_Phycella_amoena_P001_WA4,P8_Phycella_amoena_P001_WB4,P8_Phycella_amoena_P001_WC4,P9_Phycella_amoena_P001_WD4,P9_Phycella_amoena_P001_WE4,P9_Phycella_amoena_P001_WF4,P10_Phycella_amoena_P001_WG4,P10_Phycella_amoena_P001_WH4,P10_Phycella_amoena_P001_WA5,P11_Phycella_ornata_P001_WB5,P11_Phycella_ornata_P001_WC5,P11_Phycella_ornata_P001_WD5,P12_Phycella_ornata_P001_WE5,P12_Phycella_ornata_P001_WF5,P12_Phycella_ornata_P001_WG5,P13_Phycella_lutea_P001_WH5,P13_Phycella_lutea_P001_WA6,P14_Phycella_ornata_P001_WB6,P14_Phycella_ornata_P001_WC6,P14_Phycella_ornata_P001_WD6,P14_Phycella_ornata_P001_WE6,P15_Phycella_angustifolia_P001_WF6,P15_Phycella_angustifolia_P001_WG6,P15_Phycella_angustifolia_P001_WH6,P15_Phycella_angustifolia_P001_WA7,P17_Phycella_arzae_P001_WE7,P17_Phycella_arzae_P001_WF7,P17_Phycella_arzae_P001_WG7,P18_Phycella_davidii_P001_WH7,P18_Phycella_davidii_P001_WA8,P18_Phycella_davidii_P001_WB8,P18_Phycella_davidii_P001_WC8,P19_Phycella_arzae_P001_WE8,P19_Phycella_arzae_P001_WF8,P19_Phycella_arzae_P001_WG8,P20_Phycella_quilapilun_P001_WH8,P20_Phycella_quilapilun_P001_WA9,P20_Phycella_quilapilun_P001_WB9,P20_Phycella_quilapilun_P001_WC9,P21_Phycella_cyrtanthoides_P002_WA01,P21_Phycella_cyrtanthoides_P002_WB01,P22_Phycella_cyrtanthoides_P002_WD01,P23_Phycella_cyrtanthoides_P002_WF01,P23_Phycella_cyrtanthoides_P002_WG01,P24_Phycella_cyrtanthoides_P002_WH01,P24_Phycella_cyrtanthoides_P002_WA02,P25_Phycella_cyrtanthoides_P002_WC02,P25_Phycella_cyrtanthoides_P002_WD02,P26_Phycella_cyrtanthoides_P002_WE02,P26_Phycella_cyrtanthoides_P002_WF02,P27_Phycella_cyrtanthoides_P002_WH02,P27_Phycella_cyrtanthoides_P002_WA03,P28_Phycella_chilensis_P002_WC03,P30_Phycella_cyrtanthoides_P002_WG03,P30_Phycella_cyrtanthoides_P002_WH03,P30_Phycella_cyrtanthoides_P002_WA04,P31_Phycella_angustifolia_P002_WB04,P31_Phycella_angustifolia_P002_WC04,P32_Phycella_arzae_P002_WE04,P33_Phycella_ornata_P002_WG04,P33_Phycella_ornata_P002_WH04,P33_Phycella_ornata_P002_WA05,P34_Phycella_scarlatina_P002_WB05,P34_Phycella_scarlatina_P002_WC05,P35_Phycella_lutea_P002_WE05,P35_Phycella_lutea_P002_WF05,P36_Phycella_australis_P002_WH05,P36_Phycella_australis_P002_WA06,P36_Phycella_australis_P002_WB06,P38_Phycella_chilensis_P002_WE06,P38_Phycella_chilensis_P002_WF06,P39_Phycella_australis_P002_WG06,P39_Phycella_australis_P002_WH06,P40_Phycella_australis_P002_WB07,P40_Phycella_australis_P002_WC07,P41_Phycella_chilensis_P002_WE07,P41_Phycella_chilensis_P002_WF07,P41_Phycella_chilensis_P002_WG07,P43_Phycella_chilensis_P002_WB08,P43_Phycella_chilensis_P002_WC08,P45_Phycella_fulgens_P002_WG08,P45_Phycella_fulgens_P002_WH08,P46_Phycella_maulensis_P002_WB09,P46_Phycella_maulensis_P002_WC09,P46_Phycella_maulensis_P002_WD09
P1_Phycella_cyrtanthoides_P001_WA1,0.0,0.32253810428439367,0.3413272759650111,0.8089804471397841,0.8270160567050426,0.7712009544396159,0.08401830767737258,0.3316080911917357,0.4065084798946498,0.10893332275450919,0.598635511120544,0.5607616294961626,0.6087902480402276,0.3386838509592598,0.6867277200705487,0.7073307882405844,0.696629018950884,0.696940630122709,0.7084384119572117,0.653262032293341,0.6967050976062276,0.6592062936483889,0.6931030348161645,0.6910602109776917,0.665430565806081,0.694307565259236,0.6813043409786158,0.6627978677192772,0.7067532500067508,0.6528614073045991,0.6844478804863358,0.6759643865547977,0.6804241912873041,0.6780863898814391,0.6842566205422878,0.7098662235473268,0.676138889306357,0.7185329639298559,0.7117323118316663,0.7707494958321646,0.7707494958321646,0.7124118111534925,0.6866751695615096,0.6870050075101163,0.7206249256186638,0.7319213502978382,0.7321264351744919,0.7353402440642354,0.6681070306527669,0.6954576211709338,0.6885984078607936,0.6984913481511031,0.735387140264993,0.7236081689104799,0.6908832868362029,0.3138663215324452,0.34351348801206166,0.42708155698811523,0.6856243386500748,0.6523289562632419,0.7242664518941654,0.7500934960503782,0.6350109793028319,0.6395101394788304,0.6806656755973655,0.6942823169025139,0.5833367876414437,0.3240855037596917,0.5281759863434325,0.7281832587057776,0.7531746941771957,0.7158922768893011,0.7088660187705954,0.729478903901592,0.5593634179500309,0.6002368628917922,0.6027929563296117,0.7047489870156392,0.7112060108138787,0.709815084451992,0.6715998908011438,0.6809912191533427,0.6057171902228443,0.6596309470921976,0.6046268904272152,0.7474966110063938,0.6157027142289675,0.6519541215817264,0.5896979400699339,0.6965185901790185,0.7680590912929057,0.7161663612874936,0.6778082059254436,0.6265479005841218,0.6820393621250557,0.586704507194405,0.6995710995388498,0.5789995731989057,0.6381825642929593,0.6554923730303726,0.5956625650877372
P1_Phycella_cyrtanthoides_P001_WB1,0.32253810428439367,0.0,0.07666521718208798,0.7910041288953318,0.561963983693616,0.5042456424629331,0.36155700330360385,0.08412115289037084,0.3696462939422035,0.3818700699587907,0.5703241509657482,0.33235308545952014,0.34705053181136025,0.36938976214204,0.672204881316961,0.42870545084266476,0.7217770334176642,0.6140956829411284,0.6307808263132815,0.6729953661398791,0.6147203035155946,0.6706488620131366,0.7054354660959984,0.710515337546932,0.68987028254398,0.7052936345769089,0.6914369531746747,0.6671453001307334,0.7155514533045304,0.6698113496794078,0.6972038686865516,0.6166747875300311,0.6126815614282989,0.682028709271116,0.5948341923942198,0.713457456879693,0.6717591926941916,0.6894127440366093,0.675310465475861,0.740952499807417,0.740952499807417,0.7011903647892181,0.6776040200061472,0.6819107659102908,0.7270506948958998,0.7298593707742285,0.7422595854988764,0.632560849022927,0.677681687519398,0.717470273281421,0.6962766153768797,0.7201118087570144,0.6486180053203012,0.6253302912912819,0.7107543483699046,0.3104286920996924,0.07211078740801634,0.6882391142014096,0.6660964339234792,0.626896508422954,0.4540803311557732,0.47242584875743365,0.5848650403914136,0.35523523729574746,0.392122915867421,0.4254328462694571,0.5818489353169105,0.3425551341798343,0.5050231534456097,0.45704844004507356,0.4837706049018147,0.45321463912195203,0.6826256779332975,0.707986635979685,0.5806768024255774,0.7119583786027924,0.7287659338981544,0.7114659903405329,0.6821465762613956,0.6889625351010445,0.5780867342103377,0.6784994502544883,0.6100350083488808,0.37777008287900193,0.5953775334581927,0.7034055894434786,0.4674279734904516,0.6194026018218257,0.5942944893237929,0.41357195840057953,0.7451906827670214,0.6678368882802159,0.6406338202898988,0.5862919322903192,0.6424054222866169,0.5479737425830832,0.6895576519351094,0.6763763462536712,0.6525887833628448,0.654803077135483,0.6020251408902431
P1_Phycella_cyrtanthoides_P001_WC1,0.3413272759650111,0.07666521718208798,0.0,0.8096705168236211,0.5737086339698765,0.5126273584810429,0.37764331919151817,0.07746093354149089,0.3810565907191781,0.39636514187262323,0.5593794586692091,0.31646902437241253,0.3538421085459975,0.3867802570373957,0.6613301659963744,0.41467824594143093,0.6996682884280688,0.5961672385974878,0.617364508369622,0.673429038983702,0.6089261954386882,0.6642681342100458,0.700900607812553,0.7046681086419032,0.6815848447374133,0.7160983858530983,0.6814466747895855,0.654217695673321,0.7081487283912501,0.6680782113768065,0.6927775868167284,0.6136782548494212,0.6118799627863585,0.6743107377979533,0.5862496224576317,0.7034332914265351,0.6672644899048936,0.6832839452175179,0.675354182706903,0.7577191045591238,0.7577191045591238,0.6871774074022237,0.6744777568744782,0.6633603875499166,0.7016850366804026,0.715235162565282,0.7275430450033051,0.621160975298667,0.6652822308147583,0.6993071062000349,0.6877580067094505,0.7154162823219554,0.6212579970077861,0.6084531209030496,0.7098431394417093,0.3441968927932525,0.07537460053830228,0.6992301744388796,0.6832374348141277,0.6422630712518513,0.4671034012900088,0.4781418700849502,0.6159635835287985,0.3496073922607771,0.403660016528144,0.4414049188784037,0.6119274204932442,0.36486110417930795,0.5040408500452076,0.4504651870590132,0.4990431042533725,0.46619058859179296,0.6908755767944215,0.7147819804660769,0.5687814055894783,0.6988296494427857,0.7248524591513651,0.7122547077851415,0.649626400416145,0.6622587198713739,0.5751092256368182,0.665050190505461,0.6005570767140894,0.39042533759527553,0.6020101139896696,0.7078797651618114,0.4787592325892141,0.6010285713025219,0.592140123864867,0.3852560183875848,0.7467674478944999,0.6650437688543098,0.6167337943162614,0.5817668925639039,0.63411911736122,0.5609989040109066,0.697627072204505,0.6907882499643331,0.6299641887001867,0.6384401506825677,0.5988968947364799
P2_Phycella_cyrtanthoides_P001_WD1,0.8089804471397841,0.7910041288953318,0.8096705168236211,0.0,0.6029674146293548,0.6217042747287518,0.824626072735116,0.7954168610531205,0.44808035188062034,0.7405791260644071,0.7676976405577767,0.80807732369647,0.7359377322989342,0.5122593569750196,0.7543481256244977,0.7165590069820953,0.8839176414861547,0.9597046023445331,0.993829894825002,0.8999081622334983,0.9532328133262015,0.907972824320655,0.9266023910723882,0.9666739958509188,0.8441611120302508,0.9094281868285752,0.9422144970917223,0.8130293125961974,0.8224314735781268,0.920507344309154,0.8404325084124146,0.9130811235917561,0.9556286521894353,0.76543178804586,0.9290390331437248,0.9068251344867473,0.7527742193823166,0.696979546858481,0.6940378693955458,0.7031165461652839,0.7031165461652839,0.7972967560227987,0.7265330368925833,0.8799680217057465,0.9674559513044398,0.9839206826725961,0.9916489466716971,0.9834168521869396,0.9116202041148146,0.9597279451362135,0.8957929149734593,0.8430214932855067,0.9931122742165461,0.9609426689712006,0.8253860436797901,0.8154288089591413,0.8315276684230646,0.6639318251202655,0.18185176554449137,0.707743260225268,0.6198894907253629,0.6504641922038422,0.24584629904079766,0.7620663880466705,0.7161338530997802,0.6514998578196965,0.2582301577251834,0.49682335282092294,0.7364180594128064,0.7022543085632976,0.609965326239208,0.6282065511438097,0.6763740724680583,0.6553270472825263,0.7814857018832149,0.9640691052140906,0.9537265082289256,0.9041180786952601,0.7910093968441904,0.7963184247350961,0.9414615902239588,0.9401678965319038,0.7268818362396974,0.6788954474223049,0.224613707894947,0.7746120284122932,0.7350980588314987,0.7452281937720242,0.7962045854687945,0.7400100563266756,0.6800046466598619,0.8135863181178434,0.8266550790007647,0.7613224206278146,0.7788114190721848,0.7900340434828873,0.7520960342864391,0.7797007369282262,0.8537982899734026,0.8717577226023688,0.82795247747399
P2_Phycella_cyrtanthoides_P001_WE1,0.8270160567050426,0.561963983693616,0.5737086339698765,0.6029674146293548,0.0,0.08105846950191033,0.850581578329574,0.5586838050652875,0.7196446793859361,0.7824417815891362,0.7737341801876587,0.31650106379972087,0.2544324925270653,0.7958265322381941,0.7247706301467199,0.2060687803055281,0.9904376331174296,0.8614952208047151,0.9,0.9088249152804608,0.8536020196001497,0.9211666840852533,0.9335885080883299,0.9779343535202181,0.9621224875400802,0.9208098217360049,0.9455300643358493,0.914681391990992,0.9208608205978885,0.922050255340627,0.9510596285482814,0.821723804191696,0.8651835255908619,0.8849782063697675,0.836028300054423,0.9105686002408693,0.8787273823609663,0.687728284442829,0.6995069899440485,0.6518838884936572,0.6518838884936572,0.9030202755124778,0.8222324444678097,0.8866470570492941,0.9718364779026643,0.9903618579313687,0.9900436243583499,0.8902187784587888,0.9261061952791311,0.9680622604369242,0.8967909576278641,0.9481888014896657,0.8956116676176991,0.8627523493328356,0.9281090134695549,0.8322897648373276,0.5924546231803034,0.6885320682136586,0.730508314550278,0.7101351561978508,0.14244614329393032,0.12343030786915057,0.7582420306490604,0.22755651905483448,0.231238718644936,0.15190407374040638,0.7651775086620465,0.7671186234500614,0.7099015752934245,0.17489022404328955,0.09470005889147579,0.12253280230818483,0.6360385296927706,0.6319077300524852,0.9102218015173114,0.9690634082902051,0.9593476434526131,0.9151580098222982,0.768155380627139,0.7669808505757111,0.8531145496496259,0.9436300965792418,0.7420886703129582,0.20419567966358734,0.738618965675651,0.7890908243152501,0.59358122180162,0.7558984203170169,0.7946790581481871,0.23793931304562854,0.6289814362338508,0.8255597618904407,0.8412258491757287,0.7949650458494594,0.7830134994505378,0.7725519684009245,0.7856339009478418,0.8092196976234685,0.8278168893973579,0.8478995636366087,0.8175890069276357
P2_Phycella_cyrtanthoides_P001_WF1,0.7712009544396159,0.5042456424629331,0.5126273584810429,0.6217042747287518,0.08105846950191033,0.0,0.8002449769750554,0.5084319232474662,0.674521682697,0.7409522453158379,0.7134215448592366,0.25647885920117347,0.20377211499029727,0.7517430862776828,0.6711959730051525,0.15791111498083032,0.9234934391387154,0.7916813974077204,0.8322038656794214,0.8387639806663946,0.7836481285087895,0.8511932310174188,0.8627834984037832,0.9086364822619861,0.894488420391313,0.8504328729863169,0.8754588553878897,0.8446011075860941,0.8499425731612615,0.8550785422476536,0.8814257409376545,0.7555986645547759,0.7982531547222209,0.8142065612487315,0.7649658391865789,0.8371491248261111,0.8093535257121542,0.6486123404580542,0.6603580015982495,0.6190554444350624,0.6190554444350624,0.8316155142063112,0.7508952073231022,0.8147914948507671,0.9013087347937849,0.9202220144276502,0.9213886600872998,0.8203651411997472,0.8551217134161249,0.8972967560227987,0.8244229467029368,0.8777262551508888,0.8247079877629973,0.7894667474477345,0.8594467651378666,0.7794814153725614,0.5374369031010588,0.6572203326316319,0.7024134177856731,0.6659579317169511,0.12165387958177597,0.099638168529783,0.7048001934656122,0.1758517909765324,0.1957917686204214,0.11905544443506243,0.713923764538451,0.7179068903118644,0.6648085220223344,0.13557571627669798,0.047179748798581854,0.0962256349184693,0.6038863877500051,0.6003281386997427,0.8406321229662687,0.8987603277557754,0.8906977689795977,0.8424009005941732,0.7072556513458155,0.7134718199962775,0.7834620355837447,0.8738917856694158,0.6904494339443129,0.16232824172956717,0.6859365838156787,0.7542215227738112,0.526984787919184,0.6886133635769355,0.7356451627667714,0.18149026542059657,0.5719192012136332,0.7726961462280413,0.7804506135385088,0.7353652565341153,0.727650815085721,0.713316359696275,0.7441066363092912,0.7634607559459186,0.7804506135385088,0.799165700755726,0.7694044654219399
P3_Phycella_cyrtanthoides_P001_WG1,0.08401830767737258,0.36155700330360385,0.37764331919151817,0.824626072735116,0.850581578329574,0.8002449769750554,0.0,0.3608954288806767,0.4274313038124125,0.12043501523310347,0.6369370766449172,0.6140574951679021,0.6388382222250066,0.3544749838922551,0.7213411246238716,0.7324487603773336,0.7220740671567664,0.7306612266486217,0.7344516187510144,0.6923237764345146,0.7326159504515308,0.6937453279758923,0.7299689884750468,0.719535492959634,0.6904040297658475,0.7306612266486217,0.7179350291149661,0.7031618257228589,0.7483465477914852,0.6923795651945733,0.7181529817753739,0.7115700666016772,0.7107089542655805,0.7124929164797698,0.7204528140242806,0.7501364005680111,0.7072556513458155,0.7394882880452971,0.7296354388717212,0.7995241855557979,0.7995241855557979,0.7498236417899711,0.7328375425759006,0.7265640412632473,0.7360221848676832,0.7602028346353252,0.7633094253324255,0.7642509192075583,0.7009540154907914,0.7273475815182731,0.7308870851166388,0.7342684636166191,0.7650734290445114,0.7584933710843778,0.7290739821908386,0.3560912352671866,0.37462922850224173,0.44791775926856725,0.692419404405834,0.6811422622211871,0.7412449874462,0.7662966738301309,0.6625324788510447,0.6593414284572485,0.6953528082218248,0.7183777369997241,0.6234178872092078,0.35833612022876793,0.5716199748583556,0.7537688541365806,0.7786409174240208,0.738683202079667,0.7487228072910703,0.7586276039608048,0.6010191017298191,0.632896791283567,0.6374080864087563,0.7407488205657697,0.7466866739672279,0.7437421196180501,0.7028370988725609,0.7164032142097774,0.6391580628557637,0.6815358723141981,0.63814084424536,0.7715900038400263,0.6561112497753198,0.6876681722912328,0.6394551860991906,0.727393159748552,0.8030705395157915,0.7420433332012603,0.7053371435904121,0.6496231930913543,0.7121991378449637,0.6238987752605951,0.7247190838641897,0.6043221953310576,0.6744601834487526,0.6927457753335388,0.6379631710602645
P3_Phycella_cyrtanthoides_P001_WH1,0.3316080911917357,0.08412115289037084,0.07746093354149089,0.7954168610531205,0.5586838050652875,0.5084319232474662,0.3608954288806767,0.0,0.3704380701372914,0.37207102669027575,0.5562233406221049,0.3276783265621336,0.3394213263722602,0.3574409411930226,0.6611304939890581,0.41279636105007106,0.7266993276198799,0.6320461142405894,0.6405640872961733,0.7042380178417081,0.6413959248691773,0.7043505766917195,0.7402707707819803,0.7364450326170328,0.7105299013857077,0.7492707572565083,0.7194910768067857,0.6959248298629304,0.7482230598678882,0.6875537753453445,0.7313712716616373,0.6355915506788654,0.6335000067557429,0.7241627993670479,0.6256894958510689,0.7538594524380008,0.7192744541793612,0.6760117736708089,0.6688789349759764,0.7488152429596694,0.7488152429596694,0.7404684799184966,0.716190588591793,0.7162827520238662,0.7450405813248748,0.7561005862374364,0.7563054636756052,0.6571593498413613,0.7085166516260095,0.7394014722463549,0.729247913341586,0.7482724624079072,0.6640245701066201,0.6571066463867333,0.7382203133568306,0.32670519904513545,0.05322593502638455,0.6755638738822183,0.6533504292047596,0.6127190155768236,0.44171702494275855,0.4603101716275766,0.6079533810217671,0.33320497274308164,0.377811349961839,0.4145571829456104,0.5763044376873493,0.32885355709673025,0.5072675160035327,0.44280144198461524,0.4924493499491065,0.4414049188784037,0.6874883743232723,0.7127596818035674,0.605331075564967,0.7374210006028208,0.7566939458708047,0.7565266718238941,0.674196369320131,0.6630974179157326,0.6108488880316291,0.7067372336822246,0.588991702832119,0.37744331447046603,0.578444229230374,0.7412405399320058,0.49393073074247285,0.638007610800847,0.5896268141798928,0.4088168027342165,0.7502650699885631,0.7103208304864144,0.669699866611875,0.6236488340147368,0.675581774818429,0.5589418569890956,0.7265815141171906,0.7266338340927947,0.6378075191133049,0.6450271697701757,0.5987883275802279
P3_Phycella_cyrtanthoides_P001_WA2,0.4065084798946498,0.3696462939422035,0.3810565907191781,0.44808035188062034,0.7196446793859361,0.674521682697,0.4274313038124125,0.3704380701372914,0.0,0.3847791444383848,0.5915559490897959,0.6448896881913825,0.5845755212861218,0.14166915853543544,0.6403318578550323,0.5985086054682751,0.7221230042475439,0.8108464912976929,0.8350601384248064,0.7691995344715382,0.8139838054638724,0.7682925503606302,0.8007551295449638,0.8197353775921261,0.6946330662306994,0.7975008014146683,0.7939289723602447,0.6639374610729918,0.7016458204718019,0.7722235160646228,0.7013814329030593,0.8033908614155483,0.8192200203710721,0.6570102736732863,0.7926431282134655,0.7926745574789413,0.643377056974488,0.594673506776541,0.5754965331074217,0.6751092256368182,0.6751092256368182,0.6737789793664191,0.6280410546886894,0.7523634586711125,0.8160890885491416,0.8285958034585234,0.8382522352043422,0.8282935374904494,0.7733250484795429,0.8157736859889855,0.7774002648303947,0.717086599373848,0.8406638048863229,0.8183033748994619,0.7036668272729893,0.4035702006316082,0.39784329094000515,0.6333295518581408,0.34434324972832225,0.5773817301122495,0.6060045003553441,0.6267514561654977,0.3274807217481086,0.6073695755649603,0.5506582336637181,0.5936582939988814,0.35853404623002844,0.1161353130283462,0.49218657060976334,0.6305995991145462,0.6555637362537738,0.6172781073077879,0.6251325349942816,0.6265820184514143,0.5377959349997098,0.8145479047076174,0.8283495682467938,0.7937307136276084,0.6555735904796257,0.6605299878258837,0.7858645905366556,0.7798596375781279,0.588247857883078,0.5452003474951171,0.32257698013387254,0.6568682514600617,0.5759616440004455,0.6076689933279752,0.6432510211166301,0.6097358995378608,0.6807949458518633,0.6442792483733806,0.6274788498166313,0.5683255109539147,0.6136318143397788,0.5522961225155573,0.6716855171375522,0.6642975620106828,0.7105214544819342,0.7117847252287076,0.6695674261400193
P4_Phycella_cyrtanthoides_P001_WB2,0.10893332275450919,0.3818700699587907,0.39636514187262323,0.7405791260644071,0.7824417815891362,0.7409522453158379,0.12043501523310347,0.37207102669027575,0.3847791444383848,0.0,0.6418547261822534,0.6346220885820778,0.597021462845542,0.28434648291892184,0.7150541754077187,0.7040334521972351,0.792143788201892,0.792735101683522,0.8049944615158271,0.7394319509943647,0.792758352357898,0.7444653420218965,0.7768834019110602,0.782455676154713,0.7505388543888332,0.7697488535812314,0.7776088610767699,0.7579745199938654,0.7914923786591513,0.751485731026426,0.774050753241371,0.7462761822807236,0.7697190725120279,0.7340822836267548,0.7725148431990339,0.7844106016889711,0.7230147677885621,0.7030480038988755,0.6938225385324793,0.771590708411885,0.771590708411885,0.785749590914379,0.7428067158047682,0.7591981461656407,0.8083785261575245,0.8253361093573897,0.8310026977324064,0.827694157218678,0.7492126947371281,0.7840233270303756,0.7679412556224104,0.784749977093699,0.8277923840520391,0.8144412503048901,0.7774707719943259,0.3847290885391619,0.41209953867852167,0.35622062755046724,0.6091110593266948,0.646203755376082,0.66383042348015,0.722275271619482,0.6571419174255964,0.6794088686708115,0.6633506276763906,0.6560886886690496,0.6181008218357293,0.3185839732755035,0.5586332325738456,0.7211551526425898,0.7175830325207205,0.669713461016992,0.7215222347017587,0.7166620518681217,0.6363958570095121,0.6963482227013061,0.6897611773109426,0.7747937329673691,0.7455652852590781,0.7449514776583219,0.7647630291549956,0.777110311917245,0.5916423071729117,0.6270066373440086,0.6021776889118058,0.7323995780038786,0.629997992652414,0.6683530701445076,0.6497263638514638,0.7054751613775233,0.7609535188185803,0.7252427881766317,0.6935248424799255,0.622624260355452,0.6892249056925785,0.6334269403500608,0.6698421571274095,0.5674941900851203,0.7272596355584442,0.7420314184063704,0.6801081774706599
