,taxon,scp_h,scp_lat,flws_n,spt_long,spt_lat,ped_long,ped_lat,ov_long,ov_lat,perig_form,perig_long,perig_diam,tub_lat,tep1_long,tep1_lat,tep3_long,tep3_lat,color,fil1_long,fil2_long,ant_long,est_long,est_form,coron_typ
0,P1_Phycella_cyrtanthoides_P001_WA1,52.0,10.0,7,35.0,10.0,30.0,1.8,9.0,5.0,0,40.0,17.0,4.0,42.0,10.0,38.0,12.0,0,42.0,37.0,3.0,41.0,0,1
1,P1_Phycella_cyrtanthoides_P001_WB1,46.0,10.0,4,45.0,10.0,22.0,2.0,9.0,4.0,0,48.0,21.0,5.0,49.0,9.0,47.0,11.0,0,41.0,38.0,3.0,43.0,0,1
2,P1_Phycella_cyrtanthoides_P001_WC1,40.0,6.0,4,28.0,7.0,18.0,1.5,6.0,4.0,0,48.0,28.0,4.0,45.0,9.0,45.0,11.0,0,44.0,38.0,3.0,48.0,0,1
3,P2_Phycella_cyrtanthoides_P001_WD1,80.0,18.0,6,43.0,11.0,53.0,3.0,9.0,5.0,0,66.0,25.0,6.0,78.0,14.0,78.0,15.0,0,67.0,60.0,3.0,80.0,0,0
4,P2_Phycella_cyrtanthoides_P001_WE1,60.0,12.0,4,40.0,9.0,69.0,2.5,10.0,7.0,0,72.0,20.0,5.5,76.0,15.0,74.0,16.0,0,71.0,65.0,4.0,85.0,0,0
5,P2_Phycella_cyrtanthoides_P001_WF1,53.0,9.0,4,40.0,8.0,64.0,3.0,8.0,4.5,0,65.0,29.0,4.5,72.0,10.0,67.0,10.5,0,63.0,55.0,3.0,80.0,0,0
6,P3_Phycella_cyrtanthoides_P001_WG1,59.0,7.0,7,36.5,8.0,22.0,21.5,8.0,4.0,0,38.5,14.0,5.0,37.0,10.0,40.0,13.0,0,45.0,38.0,4.0,39.0,0,1
7,P3_Phycella_cyrtanthoides_P001_WH1,45.0,7.0,4,30.0,8.0,20.0,2.0,5.5,4.5,0,45.0,8.0,4.0,45.5,12.0,46.0,14.5,0,46.0,39.0,4.0,52.0,0,1
8,P3_Phycella_cyrtanthoides_P001_WA2,52.0,8.0,6,39.0,9.0,23.0,2.0,9.0,4.5,0,61.0,19.0,5.0,60.0,10.0,59.0,13.0,0,55.0,49.0,4.0,61.0,0,1
9,P4_Phycella_cyrtanthoides_P001_WB2,77.0,,7,30.0,10.0,29.0,2.0,8.0,5.0,0,47.0,15.0,3.8,47.0,11.0,47.0,11.5,0,48.0,43.0,4.5,50.0,0,1
10,P4_Phycella_cyrtanthoides_P001_WC2,38.0,7.0,3,35.0,6.0,27.0,2.0,7.0,4.0,0,50.0,,4.0,52.5,9.0,50.0,13.0,0,49.0,43.0,4.0,51.0,0,0
11,P4_Phycella_cyrtanthoides_P001_WD2,43.0,6.0,4,31.0,9.0,28.0,2.0,7.5,4.5,0,43.0,22.0,4.5,48.0,9.0,32.5,13.0,0,46.0,39.0,3.0,48.0,0,0
12,P5_Phycella_cyrtanthoides_P001_WG2,55.0,6.0,4,29.0,7.0,31.0,2.0,4.0,4.0,0,57.0,15.0,4.0,55.0,10.0,55.0,9.0,0,47.0,42.0,3.0,48.0,0,0
13,P5_Phycella_cyrtanthoides_P001_WH2,72.0,9.0,6,30.0,9.0,30.0,2.0,6.0,4.0,0,45.0,11.0,5.0,45.5,9.5,45.5,9.5,0,47.0,42.0,2.5,45.0,0,1
14,P6_Phycella_scarlatina_P001_WA3,25.0,5.0,2,36.0,5.0,43.0,2.0,9.0,5.5,0,48.0,22.0,4.0,53.0,10.0,52.5,10.5,0,61.5,58.0,3.0,66.0,0,0
15,P6_Phycella_scarlatina_P001_WB3,35.0,5.0,4,34.0,8.0,28.0,2.0,10.0,6.0,0,56.0,23.0,5.0,58.5,8.5,60.5,9.5,0,61.0,56.0,3.0,78.0,0,0
16,P8_Phycella_amoena_P001_WA4,20.0,5.5,6,24.0,7.0,22.0,2.0,6.0,3.0,1,16.0,30.0,2.5,27.0,7.0,27.0,8.0,1,25.0,19.0,3.0,28.0,1,3
17,P8_Phycella_amoena_P001_WB4,17.0,4.5,4,30.0,5.5,34.0,2.0,6.0,3.0,1,18.0,40.0,3.0,33.0,9.0,33.0,10.0,1,25.0,20.0,3.0,30.0,1,3
18,P8_Phycella_amoena_P001_WC4,19.0,4.0,4,30.0,5.0,25.0,1.5,5.0,3.0,1,13.0,28.0,3.0,29.0,6.5,27.0,7.0,1,21.0,15.0,3.0,26.5,1,3
19,P9_Phycella_amoena_P001_WD4,35.0,6.5,5,40.0,6.0,42.0,2.0,7.0,3.5,1,22.0,40.0,2.5,37.0,9.5,36.0,9.5,1,26.0,21.0,3.0,37.0,1,3
20,P9_Phycella_amoena_P001_WE4,20.0,5.0,4,38.0,4.5,43.0,2.0,7.0,3.0,1,19.0,40.0,2.8,33.0,8.0,32.0,9.5,1,25.0,19.0,3.0,28.0,1,3
21,P9_Phycella_amoena_P001_WF4,33.0,6.0,5,36.0,6.0,33.0,2.5,8.0,4.5,1,22.0,44.0,4.0,40.0,9.0,40.0,11.0,1,25.0,22.0,3.0,32.0,1,3
22,P10_Phycella_amoena_P001_WG4,28.0,5.5,5,,,45.0,2.5,7.0,4.0,1,20.0,48.0,3.0,38.5,10.0,40.0,10.5,1,24.0,18.0,2.5,29.0,1,3
