,Griffinia_hyacinthina,Griffinia_rochae,Griffinia_nocturna,H_cipoanum_119_cpgenome_annotated_3.0,NG4400_Hip_dutilh,BEL4494_Zeph_mesoch,NG243_Zeph_montana,NG5471_Zeph_monantha,NG4932_Zeph_advena,NG2811_Zeph_cisand,NG4922_Zeph_tenuif,Rhodolirium_laetum,NG1022_Pap_laeta,NG1069_Pap_laeta,Traubia_modesta,OG2_i1_Tra_modesta,OG2_i2_Tra_modesta,OG2_i3_Tra_modesta,Rhodolirium_montanum,OG1_i2_Rho_montan,OG1_i3_Rho_montan,OG1_i4_Rho_montan,OG3_i1_Rho_andico,OG3_i2_Rho_andico,P001_WA1,P001_WB1,P001_WC1,P001_WD1,P001_WE1,P001_WF1,P001_WG1,P001_WH1,P001_WA2,P001_WB2,P001_WC2,P001_WD2,P001_WE2,P001_WF2,P001_WG2,P001_WH2,P001_WA3,P001_WB3,P001_WC3,P001_WD3,P001_WE3,P001_WF3,P001_WG3,P001_WH3,P001_WA4,P001_WB4,P001_WC4,P001_WD4,P001_WE4,P001_WF4,P001_WG4,P001_WH4,P001_WA5,P001_WB5,P001_WC5,P001_WD5,P001_WE5,P001_WF5,P001_WG5,P001_WH5,P001_WA6,P001_WB6,P001_WC6,P001_WD6,P001_WE6,P001_WF6,P001_WG6,P001_WH6,P001_WA7,P001_WB7,P001_WC7,P001_WD7,P001_WE7,P001_WF7,P001_WG7,P001_WH7,P001_WA8,P001_WB8,P001_WC8,P001_WD8,P001_WE8,P001_WF8,P001_WG8,P001_WH8,P001_WA9,P001_WB9,P001_WC9,P002_WA01,P002_WB01,P002_WC01,P002_WE01,P002_WD01,P002_WF01,P002_WG01,P002_WH01,P002_WA02,P002_WB02,P002_WC02,P002_WD02,P002_WE02,P002_WF02,P002_WG02,P002_WH02,P002_WA03,P002_WB03,P002_WC03,P002_WD03,P002_WE03,P002_WF03,P002_WG03,P002_WH03,P002_WA04,P002_WB04,P002_WC04,P002_WD04,P002_WE04,P002_WF04,P002_WG04,P002_WH04,P002_WA05,P002_WB05,P002_WC05,P002_WD05,P002_WE05,P002_WF05,P002_WG05,P002_WH05,P002_WA06,P002_WB06,P002_WC06,P002_WD06,P002_WE06,P002_WF06,P002_WG06,P002_WH06,P002_WA07,P002_WB07,P002_WC07,P002_WD07,P002_WE07,P002_WF07,P002_WG07,P002_WH07,P002_WA08,P002_WB08,P002_WC08,P002_WD08,P002_WE08,P002_WF08,P002_WG08,P002_WH08,P002_WA09,P002_WB09,P002_WC09,P002_WD09,P002_WE09,P002_WF09
Griffinia_hyacinthina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Griffinia_rochae,0.0038881985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Griffinia_nocturna,0.0046640710,0.0044952365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H_cipoanum_119,0.0101763198,0.0104139211,0.0113990843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NG4400_Hip_dutilh,0.0101735275,0.0103714700,0.0113512581,0.0027731609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEL4494_Zeph_mesoch,0.0111919864,0.0112457205,0.0121048930,0.0033554201,0.0035542143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NG243_Zeph_montana,0.0109374945,0.0108682157,0.0119570221,0.0035918302,0.0039656583,0.0043296022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NG5471_Zeph_monantha,0.0105442115,0.0104918196,0.0113702412,0.0033775879,0.0035646955,0.0041175450,0.0006439544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NG4932_Zeph_advena,0.0113669296,0.0113317600,0.0125818947,0.0038608511,0.0037410915,0.0044122085,0.0009648176,0.0009654892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NG2811_Zeph_cisand,0.0111338667,0.0109174303,0.0120884581,0.0036558825,0.0035940739,0.0041415601,0.0007136155,0.0005777769,0.0005943461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
