Pop,Lat,Long
P1,-33.4947,-70.9003
P2,-32.9845,-70.7165
P3,-33.8711,-70.9241
P4,-33.8337,-71.0179
P5,-33.8679,-70.5838
P6,-30.2186,-70.6536
P7,-30.2684,-71.1339
P8,-31.2315,-71.1319
P9,-31.3848,-71.0092
P10,-31.4274,-71.1029
P11,-31.9828,-70.9518
P12,-32.2694,-70.8080
P13,-32.6126,-70.8674
P14,-33.0742,-71.0186
P15,-32.9891,-70.9701
P16,-33.4709,-70.4974
P17,-33.4708,-70.4985
P18,-33.5833,-70.3750
P19,-33.3444,-70.3401
P20,-33.0943,-70.5248
P21,-32.5456,-71.4524
P22,-31.9141,-70.8934
P23,-30.1862,-71.3796
P24,-29.4813,-71.2962
P25,-30.0548,-71.0882
P26,-30.6284,-71.6618
P27,-33.0792,-71.6460
P28,-29.7359,-71.3242
P29,-32.9430,-71.0840
P30,-33.1981,-70.9453
P31,-33.1975,-70.9752
P32,-33.1934,-70.9724
P33,-32.8602,-70.8761
P34,-31.3778,-71.0519
P35,-33.5557,-70.9401
P36,-35.4692,-72.4931
P37,-36.8122,-73.1734
P38,-36.6947,-72.4545
P39,-36.7021,-72.5136
P40,-36.9971,-72.9722
P41,-37.1582,-72.9654
P42,-38.1487,-72.3018
P43,-37.7085,-71.8242
P44,-37.2214,-72.3848
P45,-40.3509,-72.9385
P46,-35.6009,-70.9828
P47,-36.1262,-71.2286
