Indiv Population MDS
P001_WD1 P2 0.368873440693986
P001_WE1 P2 0.505731559883269
P001_WF1 P2 0.439800488133256
P002_WD01 P22 0.278247896283737
P002_WF01 P23 0.29216664851203
P002_WG01 P23 0.273420536428351
P002_WH01 P24 0.452752182445628
P002_WA02 P24 0.454679876128245
P002_WC02 P25 0.207338462616508
P002_WD02 P25 0.315014350629115
P002_WE02 P26 0.403977017650377
P002_WF02 P26 0.421398757389712
P002_WG03 P30 0.422274067600182
P002_WH03 P30 0.431641560851908
P002_WA04 P30 0.442497067598872

//end of file
