Indiv Population MDS
P001_WA1 P1_cyrtanthoides 0.104649390542267
P001_WB1 P1_cyrtanthoides 0.213376172959896
P001_WC1 P1_cyrtanthoides 0.19953574099018
P001_WD1 P2_cyrtanthoides 0.368873440693986
P001_WE1 P2_cyrtanthoides 0.505731559883269
P001_WF1 P2_cyrtanthoides 0.439800488133256
P001_WG1 P3_cyrtanthoides 0.114826591909718
P001_WH1 P3_cyrtanthoides 0.248144348717937
P001_WA2 P3_cyrtanthoides 0.28012233568771
P001_WB2 P4_cyrtanthoides 0.208839650226403
P001_WC2 P4_cyrtanthoides 0.163166246897261
P001_WD2 P4_cyrtanthoides 0.238927579236938
P001_WG2 P5_cyrtanthoides 0.327596409988955
P001_WH2 P5_cyrtanthoides 0.182671655593648
P001_WA3 P6_scarlatina 0.256002634291971
P001_WB3 P6_scarlatina 0.394961564723999
P001_WA4 P8_amoena -0.356098902333497
P001_WB4 P8_amoena -0.306117398236097
P001_WC4 P8_amoena -0.319433821184647
P001_WD4 P9_amoena -0.312295603053941
P001_WE4 P9_amoena -0.30548846814934
P001_WF4 P9_amoena -0.321754066480196
P001_WG4 P10_amoena -0.35181090453463
P001_WH4 P10_amoena -0.360482258492758
P001_WA5 P10_amoena -0.334371880493346
P001_WB5 P11_ornata -0.353677033547994
P001_WC5 P11_ornata -0.364979556437217
P001_WD5 P11_ornata -0.316064673407958
P001_WE5 P12_ornata -0.346173486959635
P001_WF5 P12_ornata -0.326161279095065
P001_WG5 P12_ornata -0.36525688470997
P001_WH5 P13_lutea -0.264855366596547
P001_WA6 P13_lutea -0.298041179364143
P001_WB6 P14_ornata -0.281043835402234
P001_WC6 P14_ornata -0.297540101888593
P001_WD6 P14_ornata -0.327508831684314
P001_WE6 P14_ornata -0.264289472601956
P001_WF6 P15_angustifolia 0.347889574116471
P001_WG6 P15_angustifolia 0.325569827721295
P001_WH6 P15_angustifolia 0.346574782791378
P001_WA7 P15_angustifolia 0.346574782791378
P001_WE7 P17_arzae -0.301229428402549
P001_WF7 P17_arzae -0.217302844290882
P001_WG7 P17_arzae -0.292306738733308
P001_WH7 P18_davidii -0.33181469921961
P001_WA8 P18_davidii -0.340655945674456
P001_WB8 P18_davidii -0.341934393874161
P001_WC8 P18_davidii -0.299805047003704
P001_WE8 P19_arzae -0.318219822479381
P001_WF8 P19_arzae -0.381239384005745
P001_WG8 P19_arzae -0.317430660719545
P001_WH8 P20_quilapilun -0.361336588109558
P001_WA9 P20_quilapilun -0.341320937508695
P001_WB9 P20_quilapilun -0.319845441612259
P001_WC9 P20_quilapilun -0.338942693271767
P002_WA01 P21_cyrtanthoides 0.0985154239557094
P002_WB01 P21_cyrtanthoides 0.208208033359632
P002_WD01 P22_cyrtanthoides 0.278247896283737
P002_WF01 P23_cyrtanthoides 0.29216664851203
P002_WG01 P23_cyrtanthoides 0.273420536428351
P002_WH01 P24_cyrtanthoides 0.452752182445628
P002_WA02 P24_cyrtanthoides 0.454679876128245
P002_WC02 P25_cyrtanthoides 0.207338462616508
P002_WD02 P25_cyrtanthoides 0.315014350629115
P002_WE02 P26_cyrtanthoides 0.403977017650377
P002_WF02 P26_cyrtanthoides 0.421398757389712
P002_WH02 P27_cyrtanthoides 0.185578193243776
P002_WA03 P27_cyrtanthoides 0.190725745770342
P002_WC03 P28_chilensis -0.0268961692464498
P002_WG03 P30_cyrtanthoides 0.422274067600182
P002_WH03 P30_cyrtanthoides 0.431641560851908
P002_WA04 P30_cyrtanthoides 0.442497067598872
P002_WB04 P31_angustifolia 0.279335820347605
P002_WC04 P31_angustifolia 0.349010620663849
P002_WE04 P32_arzae -0.270232415786592
P002_WG04 P33_ornata -0.368077581023621
P002_WH04 P33_ornata -0.371201797199207
P002_WA05 P33_ornata -0.328505679474137
P002_WB05 P34_scarlatina 0.186882598447438
P002_WC05 P34_scarlatina 0.207474255140741
P002_WE05 P35_lutea -0.26654672483354
P002_WF05 P35_lutea -0.289656026074269
P002_WH05 P36_australis 0.184054378613399
P002_WA06 P36_australis 0.380182967593614
P002_WB06 P36_australis 0.216895759271644
P002_WE06 P38_chilensis -0.00920254150477529
P002_WF06 P38_chilensis 0.00804732407081018
P002_WG06 P39_australis 0.201050950477496
P002_WH06 P39_australis 0.134914303665871
P002_WB07 P40_australis 0.336894548347534
P002_WC07 P40_australis 0.306155387066781
P002_WE07 P41_chilensis -0.0764422198910198
P002_WF07 P41_chilensis -0.0941171720085925
P002_WG07 P41_chilensis -0.0508810708453191
P002_WB08 P43_chilensis -0.0466459806400999
P002_WC08 P43_chilensis -0.0462712048659204
P002_WG08 P45_fulgens -0.0793828169376571
P002_WH08 P45_fulgens -0.0898773791997584
P002_WB09 P46_maulensis 0.0540724887966591
P002_WC09 P46_maulensis 0.0775675557496214
P002_WD09 P46_maulensis 0.0759568524755584
 
